,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
0,3.0,2007.0,326.03,-0.32,0.32,185.17928,17.792868,4.74,93.37,-1.92,1.92,2.7,19.0,-2.0,2.0,4742.0,-100.0,100.0,2.31,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,19.0,12.345286,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.64240028,0.0,0.0,0.0,0.083813263,12.082709,6165.8633,1.29
1,3.0,2009.0,516.21997,-3.2,3.2,229.27454,71.823898,5.016,125.72,-1.97,1.97,2.78,29.79,-2.84,2.84,4213.0,-46.0,46.0,1.93,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,29.79,15.28497,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.64868332,0.0,0.0,0.0,0.082414476,12.229641,4684.7848,1.53
2,3.0,2008.0,185.84,-0.23,0.23,352.82257,39.236198,5.227,75.59,-0.71,0.71,2.2,11.0,-1.0,1.0,4813.0,-20.0,20.0,2.63,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,11.0,23.521506,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.60001028,0.0,0.0,0.0,0.081917127,12.848516,1525.5744,0.83
3,3.0,2002.0,1773.4,-2.5,2.5,242.6013,43.817646,6.61,17.94,-0.01,0.01,0.9,0.93,-0.01,0.01,5338.0,-25.0,25.0,4.45,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,0.93,16.173421,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.44541547,0.0,0.0,0.0,0.14524062,12.865261,1481.0785,2.93
4,3.0,1996.0,798.5,-1.0,1.0,295.46655,50.517525,6.25,21.15,-0.01,0.01,1.08,1.13,-0.01,0.01,5750.0,-8.0,8.0,4.36,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,1.13,19.697771,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,0.47332457,1.0,1.0,0.0,0.36862709,13.421749,565.73385,1.66
5,3.0,2008.0,993.3,-3.2,3.2,314.60806,10.839286,5.506,76.38,-0.62,0.62,2.3,8.5,-0.49420000000000014,0.4877000000000002,4979.0,-18.0,18.0,2.82,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,8.5,20.973872,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.60896698,0.0,0.0,0.0,0.21617437,12.424038,3273.6284,2.6
6,3.0,2008.0,1885775.975,-418415.73880000005,236112.9998,242.37627,-21.083036,12.86171,145.0,-14.0,14.0,0.85,1.5600000000000016,-0.13340000000000016,0.13590000000000016,4060.0,-200.0,300.0,3.8911999999999995,330.0,330.0,330.0,330.00001,101.0036216,97.28082282000007,110.44924469999987,799.1527478000005,801.4384105000001,826.3100383999999,1.5600000000000016,16.158419,1.6970318530000015,0.992882159399999,2.3678313570000005,1.2570774060000003,2.2442714219999975,1.3291618630000004,2.2415280289999995,1.2139798369999988,2.2432900239999984,3.5177989999999966,0.14012839,0.0,0.0,0.0,0.08145806373999996,12.56295,2542.624,330.0
7,3.0,2018.0,30.3506,-0.0077,0.0078,217.15755,49.844852,5.58,96.25,-0.64,0.64,0.99,10.64,-0.59,0.84,4893.0,-15.0,15.0,2.42,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,10.64,14.477171,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.49217655,0.0,0.0,0.0,0.065684936,13.823874,289.22348,0.19
8,3.0,2010.0,452.8,-4.5,2.1,155.86821,-0.902244,6.441,72.21,-0.68,0.68,1.54,4.9,-0.08,0.08,5098.0,-44.0,44.0,3.5,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,4.9,10.391215,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.48748251,0.0,0.0,0.0,0.17730446,13.35605,632.47773,1.333
9,3.0,2010.0,883.0,-13.8,32.4,155.86821,-0.902244,6.441,72.21,-0.68,0.68,1.54,4.9,-0.08,0.08,5098.0,-44.0,44.0,3.5,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,4.9,10.391215,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.48748251,0.0,0.0,0.0,0.2724776,13.858291,273.33208,2.08
10,3.0,2013.0,82273.32,-41495.18745,25631.608450000007,20.712243,-24.664049,14.24,36.0,-4.0,4.0,0.4,1.5705999999999962,-0.1281000000000001,0.1398000000000002,3530.0,-50.0,50.0,3.8761999999999985,52.0,52.0,52.0,52.000001,99.89561561,97.06894764000005,110.53811819999989,798.9523952000002,800.1256673000004,826.4776598000001,1.5703999999999962,1.3808163,1.697154903000001,0.9926343541999987,2.3665321330000006,1.2568147260000004,2.2435100839999977,1.3289598790000006,2.2411166979999995,1.2138601669999982,2.2421958229999994,3.5181604119999963,0.18511504,0.0,0.0,0.0,0.08264852204,11.959259,7786.7861,52.0
11,3.0,2015.0,1971418.32,-743557.8631999999,757342.3842000002,34.842106,-39.422928,12.488089999999998,39.4,-2.6,2.6,0.11,0.28,-0.01,0.01,3064.0,-76.0,76.0,4.59,156.0,156.0,156.0,156.0,2.5439616e-07,2.5439616e-07,2.5439616e-07,5.7216666,5.7216666,5.7216666,0.28,2.3228072,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.098031817,0.0,0.0,0.0,0.056530021,16.1424,4417.8092,156.0
